DATE,POPTHM
01-04-2009,306645
01-05-2009,306863
01-06-2009,307090
01-07-2009,307322
01-08-2009,307570
01-09-2009,307826
01-10-2009,308071
01-11-2009,308289
01-12-2009,308495
01-01-2010,308706
01-02-2010,308904
01-03-2010,309095
01-04-2010,309289
01-05-2010,309485
01-06-2010,309691
01-07-2010,309913
01-08-2010,310146
01-09-2010,310385
01-10-2010,310612
01-11-2010,310820
01-12-2010,311020
01-01-2011,311204
01-02-2011,311373
01-03-2011,311551
01-04-2011,311740
01-05-2011,311935
01-06-2011,312147
01-07-2011,312372
01-08-2011,312605
01-09-2011,312842
01-10-2011,313060
01-11-2011,313260
01-12-2011,313454
01-01-2012,313636
01-02-2012,313811
01-03-2012,313993
01-04-2012,314176
01-05-2012,314368
01-06-2012,314576
01-07-2012,314796
01-08-2012,315031
01-09-2012,315264
01-10-2012,315485
01-11-2012,315692
01-12-2012,315877
01-01-2013,316038
01-02-2013,316191
01-03-2013,316357
01-04-2013,316535
01-05-2013,316729
01-06-2013,316934
01-07-2013,317156
01-08-2013,317397
01-09-2013,317635
01-10-2013,317864
01-11-2013,318076
01-12-2013,318276
01-01-2014,318464
01-02-2014,318642
01-03-2014,318827
01-04-2014,319020
01-05-2014,319225
01-06-2014,319438
01-07-2014,319670
01-08-2014,319919
01-09-2014,320166
01-10-2014,320403
01-11-2014,320616
01-12-2014,320815
01-01-2015,320997
01-02-2015,321164
01-03-2015,321344
01-04-2015,321538
01-05-2015,321740
01-06-2015,321954
01-07-2015,322186
01-08-2015,322427
01-09-2015,322670
01-10-2015,322901
01-11-2015,323113
01-12-2015,323318
01-01-2016,323509
01-02-2016,323687
01-03-2016,323871
01-04-2016,324061
01-05-2016,324260
01-06-2016,324476
01-07-2016,324697
01-08-2016,324924
01-09-2016,325155
01-10-2016,325368
01-11-2016,325562
01-12-2016,325742
01-01-2017,325901
01-02-2017,326050
01-03-2017,326207
01-04-2017,326371
01-05-2017,326548
01-06-2017,326743
01-07-2017,326939
01-08-2017,327140
01-09-2017,327342
01-10-2017,327528
01-11-2017,327699
01-12-2017,327848
01-01-2018,327969
01-02-2018,328085
01-03-2018,328219
01-04-2018,328364
01-05-2018,328521
01-06-2018,328692
01-07-2018,328863
01-08-2018,329040
01-09-2018,329216
01-10-2018,329379
01-11-2018,329527
01-12-2018,329659
01-01-2019,329766
01-02-2019,329862
01-03-2019,329977
01-04-2019,330103
01-05-2019,330240
01-06-2019,330393
01-07-2019,330553
01-08-2019,330729
01-09-2019,330904
01-10-2019,331066
01-11-2019,331213
01-12-2019,331345
01-01-2020,331443
01-02-2020,331525
01-03-2020,331634
01-04-2020,331684
01-05-2020,331685
01-06-2020,331728
01-07-2020,331795
01-08-2020,331870
01-09-2020,331950
01-10-2020,332025
01-11-2020,332063
01-12-2020,332047
01-01-2021,331992
01-02-2021,331968
01-03-2021,332007
01-04-2021,332073
01-05-2021,332144
01-06-2021,332231
01-07-2021,332358
01-08-2021,332489
01-09-2021,332594
01-10-2021,332692
01-11-2021,332790
01-12-2021,332876
01-01-2022,332918
01-02-2022,332959
01-03-2022,333056
01-04-2022,333184
01-05-2022,333317
01-06-2022,333460
01-07-2022,333624
01-08-2022,333799
01-09-2022,333976
01-10-2022,334141
01-11-2022,334287
01-12-2022,334420
01-01-2023,334533
01-02-2023,334637
01-03-2023,334753
01-04-2023,334880
