per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
771,6,2,0,1,1,708
771,6,1,0,1,0,1649.5
771,6,0,1,1,0,3
771,6,1,0,1,1,1668
770,7,3,0,1,1,542
770,7,0,3,1,1,16
770,7,2,0,1,1,1029
770,7,0,2,1,1,5
770,7,1,0,1,1,1577
770,7,0,1,1,1,6
770,1,3,0,1,1,638
770,1,2,0,1,1,796
770,1,1,0,1,1,1482
770,4,3,0,1,1,588
770,4,0,3,1,1,12
770,4,2,0,1,1,835
770,4,0,2,1,1,6
770,4,1,0,1,1,1436
770,4,0,1,1,1,6
770,3,3,0,1,0,165.5
770,3,0,3,1,0,7
770,3,3,0,1,1,164
770,3,2,0,1,0,131.1
770,3,0,2,1,0,6
770,3,2,0,1,1,133
770,3,1,0,1,0,300.2
770,3,0,1,1,0,5
770,3,1,0,1,1,301
770,8,3,0,1,0,34.4
770,8,0,3,1,0,16
770,8,2,0,1,0,76.9
770,8,0,2,1,0,5
770,8,1,0,1,0,111.7
770,8,0,1,1,0,6
770,2,3,0,1,0,49
770,2,2,0,1,0,58.7
770,2,1,0,1,0,110.9
770,5,3,0,1,0,43.3
770,5,0,3,1,0,12
770,5,2,0,1,0,58.9
770,5,0,2,1,0,6
770,5,1,0,1,0,103.2
770,5,0,1,1,0,6
770,6,3,0,1,0,944.1
770,6,0,3,1,0,5
770,6,3,0,1,1,943
770,6,2,0,1,0,703.4
770,6,0,2,1,0,3
770,6,2,0,1,1,727
770,6,1,0,1,0,1663.9
770,6,0,1,1,0,3
770,6,1,0,1,1,1686
769,7,3,0,1,1,350
769,7,0,3,1,1,16
769,7,2,0,1,1,1018
769,7,0,2,1,1,5
769,7,1,0,1,1,1377
769,7,0,1,1,1,6
769,1,3,0,1,1,552
769,1,2,0,1,1,748
769,1,1,0,1,1,1354
769,4,3,0,1,1,506
769,4,0,3,1,1,12
769,4,2,0,1,1,823
769,4,0,2,1,1,6
769,4,1,0,1,1,1340
769,4,0,1,1,1,6
769,3,3,0,1,0,164.3
769,3,0,3,1,0,8
769,3,3,0,1,1,159
769,3,2,0,1,0,130.4
769,3,0,2,1,0,6
769,3,2,0,1,1,135
769,3,1,0,1,0,299.1
769,3,0,1,1,0,5
769,3,1,0,1,1,298
